Kostantinos,Tsigkounis,Komotinis 12,6942854060,konstantinos.tsigk@mail.com,kost,Tsigkou99!,0123456789,false
Aristeidis,Gerakis,Thessalonikis 25,6992445586,gravelee@mail.com,Aris,Gerakis32!,1234567890,true
Christos,Xidas,Pentelis 12,6945679234,cxydas@mail.com,Chris,Xidas284!,2345678901,false
Ioannis,Klian,Varimpompis 54,6912345678,iklian@mail.com,Iklian,IKlian27!,3456789012,false
Ioannis,Daniil,Giannitson 22,6998765432,idaniil@mail.com,IDaniil,IDaniil99!,4567890123,false
Markos,Antoniou,Komotinis 253,6908765432,markos@mail.com,Mark,Antoniou17!,5678901234,false
Dimitris,Antoniadis,Harilaou 17,699876543,dimitris@mail.com,Dimi,Dimitris18!,6789012345,false
Stavros,Giannou,Oropou 1,6958475960,stavrogmail.com,Stavrog,Stavrog99!,7890123456,false
Giorgos,Verikis,Solonos 32,6959375960,giorgosv@gmail.com,Giorgosv,Giorgosv99!,890123456,false
Valentinos,Rossi,Milano 32,6942425960,valentinor@gmail.com,Valentinor,Vale,9012345678,false
